year,programTitle,Program Code,PLU,Sum Credits,location,rawfte,fte,id,count
2016-17,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,1080,TE,1,1,---,1
2016-17,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,1080,TE,1,1,---,1
2016-17,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,1080,TE,1,1,---,1
2016-17,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,1080,TE,1,1,---,1
2016-17,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,1080,TE,1,1,---,1
2016-17,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,1080,TE,1,1,---,1
2012-13,ACEIT Welder Foundation,ACWELDF,SCH,1.5,PR,0.0025,0,---,1
2013-14,ACEIT Welder Foundation,ACWELDF,SCH,1.5,PR,0.0025,0,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,840,PR,1,1,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,840,PR,1,1,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,840,PR,1,1,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,840,PR,1,1,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,840,PR,1,1,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
