"","town","K12_SCHOOL_NAME","K12_DISTRICT_NUMBER","K12_GRAD_SCHOOL_YEAR","PSI_AGE","PSI_GENDER","PSI_CIP_2DIGIT_DESCRIPTION","to_psi","count","latitude","longitude"
"1","Burns Lake","Lakes District Secondary","091","2009-2010","19","F","High school/secondary diploma and certificate programs","CNC","1",54.2334,-125.7636
"2","Burns Lake","Lakes District Secondary","091","2005-2006","(blank)","(blank)","(blank)","no_transfer_yet","15",54.2334,-125.7636
"3","Burns Lake","Lakes District Secondary","091","2006-2007","19","F","Personal and culinary services","CNC","1",54.2334,-125.7636
"4","Burns Lake","Lakes District Secondary","091","2010-2011","20","M","Liberal arts and sciences, general studies and humanities","CNC","1",54.2334,-125.7636
"5","Burns Lake","Lakes District Secondary","091","2006-2007","19","F","Business, management, marketing and related support services","TRU","1",54.2334,-125.7636
"6","Burns Lake","Lakes District Secondary","091","2007-2008","18","F","Liberal arts and sciences, general studies and humanities","CNC","1",54.2334,-125.7636
"7","Burns Lake","Lakes District Secondary","091","2007-2008","18","F","Business, management, marketing and related support services","CNC","1",54.2334,-125.7636
"8","Burns Lake","Lakes District Secondary","091","2007-2008","18","F","Construction trades","CNC","1",54.2334,-125.7636
"9","Burns Lake","Lakes District Secondary","091","2005-2006","23","M","Liberal arts and sciences, general studies and humanities","CNC","1",54.2334,-125.7636
"10","Burns Lake","Lakes District Secondary","091","2008-2009","17","M","Liberal arts and sciences, general studies and humanities","VIU","1",54.2334,-125.7636
"11","Burns Lake","Lakes District Secondary","091","2012-2013","17","F","Health professions and related programs","UFV","1",54.2334,-125.7636
"12","Burns Lake","Lakes District Secondary","091","2007-2008","17","F","Biological and biomedical sciences","UNBC","1",54.2334,-125.7636
"13","Burns Lake","Lakes District Secondary","091","2005-2006","19","F","Security and protective services","CNC","1",54.2334,-125.7636
"14","Burns Lake","Lakes District Secondary","091","2005-2006","23","M","Natural resources and conservation","CNC","1",54.2334,-125.7636
"15","Burns Lake","Lakes District Secondary","091","2007-2008","18","F","Biological and biomedical sciences","UNBC","1",54.2334,-125.7636
"16","Burns Lake","Lakes District Secondary","091","2009-2010","21","M","Security and protective services","CNC","1",54.2334,-125.7636
"17","Burns Lake","Lakes District Secondary","091","2011-2012","17","F","Health professions and related programs","CNC","1",54.2334,-125.7636
"18","Burns Lake","Lakes District Secondary","091","2007-2008","19","M","Precision production","CNC","1",54.2334,-125.7636
"19","Burns Lake","Lakes District Secondary","091","2006-2007","18","F","Multidisciplinary/interdisciplinary studies","UNBC","2",54.2334,-125.7636
"20","Burns Lake","Lakes District Secondary","091","2004-2005","23","M","Mechanic and repair technologies/technicians","UFV","1",54.2334,-125.7636
"21","Burns Lake","Lakes District Secondary","091","2007-2008","18","M","Natural resources and conservation","UNBC","1",54.2334,-125.7636
"22","Burns Lake","Lakes District Secondary","091","2008-2009","18","F","Liberal arts and sciences, general studies and humanities","CNC","1",54.2334,-125.7636
"23","Burns Lake","Lakes District Secondary","091","2006-2007","24","F","Health professions and related programs","CNC","1",54.2334,-125.7636
"24","Burns Lake","Lakes District Secondary","091","2011-2012","17","M","Precision production","CNC","1",54.2334,-125.7636
"25","Burns Lake","Lakes District Secondary","091","2006-2007","24","M","Parks, recreation, leisure and fitness studies","CNC","1",54.2334,-125.7636
"26","Burns Lake","Lakes District Secondary","091","2011-2012","18","F","Health professions and related programs","CNC","1",54.2334,-125.7636
"27","Burns Lake","Lakes District Secondary","091","2006-2007","19","M","Construction trades","CNC","1",54.2334,-125.7636
"28","Burns Lake","Lakes District Secondary","091","2007-2008","17","M","Construction trades","CNC","1",54.2334,-125.7636
"29","Burns Lake","Lakes District Secondary","091","2010-2011","21","M","Business, management, marketing and related support services","CNC","1",54.2334,-125.7636
"30","Burns Lake","Lakes District Secondary","091","2007-2008","19","M","Security and protective services","CNC","1",54.2334,-125.7636
"31","Burns Lake","Lakes District Secondary","091","2005-2006","23","M","Mechanic and repair technologies/technicians","BCIT","1",54.2334,-125.7636
"32","Burns Lake","Lakes District Secondary","091","2007-2008","18","M","Mechanic and repair technologies/technicians","BCIT","1",54.2334,-125.7636
"33","Burns Lake","Lakes District Secondary","091","2007-2008","18","M","High school/secondary diploma and certificate programs","CNC","1",54.2334,-125.7636
"34","Burns Lake","Lakes District Secondary","091","2004-2005","18","F","Liberal arts and sciences, general studies and humanities","UNBC","3",54.2334,-125.7636
"35","Burns Lake","Lakes District Secondary","091","2005-2006","22","M","Construction trades","CNC","1",54.2334,-125.7636
"36","Burns Lake","Lakes District Secondary","091","2006-2007","20","F","Security and protective services","JIBC","1",54.2334,-125.7636
"37","Burns Lake","Lakes District Secondary","091","2006-2007","20","F","Engineering technologies and engineering-related fields","OKAN","1",54.2334,-125.7636
"38","Burns Lake","Lakes District Secondary","091","2010-2011","18","F","Liberal arts and sciences, general studies and humanities","NVIT","1",54.2334,-125.7636
"39","Burns Lake","Lakes District Secondary","091","2006-2007","17","F","Personal and culinary services","CNC","2",54.2334,-125.7636
"40","Burns Lake","Lakes District Secondary","091","2011-2012","18","F","Health-related knowledge and skills (not for credit)","CNC","1",54.2334,-125.7636
"41","Burns Lake","Lakes District Secondary","091","2009-2010","20","M","Health-related knowledge and skills (not for credit)","OKAN","1",54.2334,-125.7636
"42","Burns Lake","Lakes District Secondary","091","2011-2012","18","F","Multidisciplinary/interdisciplinary studies","CNC","1",54.2334,-125.7636
"43","Burns Lake","Lakes District Secondary","091","2006-2007","21","M","Security and protective services","CNC","1",54.2334,-125.7636
"44","Burns Lake","Lakes District Secondary","091","2006-2007","17","M","Personal and culinary services","CNC","1",54.2334,-125.7636
"45","Burns Lake","Lakes District Secondary","091","2005-2006","18","F","Computer and information sciences and support services","UNBC","1",54.2334,-125.7636
"46","Burns Lake","Lakes District Secondary","091","2006-2007","18","F","Health professions and related programs","CNC","1",54.2334,-125.7636
"47","Burns Lake","Lakes District Secondary","091","2006-2007","17","F","Multidisciplinary/interdisciplinary studies","UNBC","1",54.2334,-125.7636
"48","Burns Lake","Lakes District Secondary","091","2006-2007","18","F","Liberal arts and sciences, general studies and humanities","CNC","1",54.2334,-125.7636
"49","Burns Lake","Lakes District Secondary","091","2004-2005","18","M","Liberal arts and sciences, general studies and humanities","UBCO","1",54.2334,-125.7636
"50","Burns Lake","Lakes District Secondary","091","2006-2007","18","M","Construction trades","CNC","2",54.2334,-125.7636
"51","Burns Lake","Lakes District Secondary","091","2010-2011","19","M","High school/secondary diploma and certificate programs","CNC","1",54.2334,-125.7636
"52","Burns Lake","Lakes District Secondary","091","2006-2007","23","F","Basic skills (not for credit)","NLC","1",54.2334,-125.7636
"53","Burns Lake","Lakes District Secondary","091","2006-2007","17","F","Security and protective services","CNC","1",54.2334,-125.7636
"54","Burns Lake","Lakes District Secondary","091","2009-2010","18","F","Health-related knowledge and skills (not for credit)","CNC","1",54.2334,-125.7636
"55","Burns Lake","Lakes District Secondary","091","2012-2013","18","M","High school/secondary diploma and certificate programs","CNC","1",54.2334,-125.7636
"56","Burns Lake","Lakes District Secondary","091","2009-2010","(blank)","(blank)","(blank)","no_transfer_yet","14",54.2334,-125.7636
"57","Burns Lake","Lakes District Secondary","091","2005-2006","18","F","Family and consumer sciences/human sciences","CNC","1",54.2334,-125.7636
"58","Burns Lake","Lakes District Secondary","091","2005-2006","18","F","Liberal arts and sciences, general studies and humanities","UVIC","1",54.2334,-125.7636
"59","Burns Lake","Lakes District Secondary","091","2005-2006","18","F","Health-related knowledge and skills (not for credit)","CNC","1",54.2334,-125.7636
"60","Burns Lake","Lakes District Secondary","091","2005-2006","18","F","High school/secondary diploma and certificate programs","CNC","1",54.2334,-125.7636
"61","Burns Lake","Lakes District Secondary","091","2007-2008","18","M","Multidisciplinary/interdisciplinary studies","UNBC","1",54.2334,-125.7636
"62","Burns Lake","Lakes District Secondary","091","2008-2009","18","F","High school/secondary diploma and certificate programs","CNC","1",54.2334,-125.7636
"63","Burns Lake","Lakes District Secondary","091","2004-2005","19","M","Physical sciences","UFV","1",54.2334,-125.7636
"64","Burns Lake","Lakes District Secondary","091","2007-2008","18","F","Business, management, marketing and related support services","TRU","1",54.2334,-125.7636
"65","Burns Lake","Lakes District Secondary","091","2005-2006","18","M","Health professions and related programs","CNC","1",54.2334,-125.7636
"66","Burns Lake","Lakes District Secondary","091","2005-2006","18","M","High school/secondary diploma and certificate programs","CNC","3",54.2334,-125.7636
"67","Burns Lake","Lakes District Secondary","091","2005-2006","18","M","Personal and culinary services","CNC","1",54.2334,-125.7636
"68","Burns Lake","Lakes District Secondary","091","2004-2005","19","F","Business, management, marketing and related support services","CNC","1",54.2334,-125.7636
"69","Burns Lake","Lakes District Secondary","091","2008-2009","23","M","Security and protective services","CNC","1",54.2334,-125.7636
"70","Burns Lake","Lakes District Secondary","091","2004-2005","19","F","Personal and culinary services","CNC","1",54.2334,-125.7636
"71","Burns Lake","Lakes District Secondary","091","2010-2011","18","F","Liberal arts and sciences, general studies and humanities","CNC","3",54.2334,-125.7636
"72","Burns Lake","Lakes District Secondary","091","2012-2013","18","M","Security and protective services","CNC","1",54.2334,-125.7636
"73","Burns Lake","Lakes District Secondary","091","2004-2005","18","F","High school/secondary diploma and certificate programs","CNC","1",54.2334,-125.7636
"74","Burns Lake","Lakes District Secondary","091","2008-2009","19","M","Parks, recreation, leisure and fitness studies","CNC","1",54.2334,-125.7636
"75","Burns Lake","Lakes District Secondary","091","2008-2009","20","M","Mechanic and repair technologies/technicians","CNC","1",54.2334,-125.7636
"76","Burns Lake","Lakes District Secondary","091","2010-2011","17","F","Liberal arts and sciences, general studies and humanities","CNC","2",54.2334,-125.7636
"77","Burns Lake","Lakes District Secondary","091","2009-2010","18","M","Computer and information sciences and support services","TRU","1",54.2334,-125.7636
"78","Burns Lake","Lakes District Secondary","091","2009-2010","18","M","English language and literature/letters","TRU","1",54.2334,-125.7636
"79","Burns Lake","Lakes District Secondary","091","2010-2011","18","F","Business, management, marketing and related support services","CNC","1",54.2334,-125.7636
"80","Burns Lake","Lakes District Secondary","091","2007-2008","19","F","Liberal arts and sciences, general studies and humanities","CNC","1",54.2334,-125.7636
"81","Burns Lake","Lakes District Secondary","091","2012-2013","18","F","Liberal arts and sciences, general studies and humanities","CNC","2",54.2334,-125.7636
"82","Burns Lake","Lakes District Secondary","091","2006-2007","17","F","Liberal arts and sciences, general studies and humanities","TRU","1",54.2334,-125.7636
"83","Burns Lake","Lakes District Secondary","091","2006-2007","18","F","Business, management, marketing and related support services","TRU","2",54.2334,-125.7636
"84","Burns Lake","Lakes District Secondary","091","2013-2014","18","F","Engineering","UNBC","1",54.2334,-125.7636
"85","Burns Lake","Lakes District Secondary","091","2011-2012","19","M","High school/secondary diploma and certificate programs","CNC","2",54.2334,-125.7636
"86","Burns Lake","Lakes District Secondary","091","2004-2005","21","F","Security and protective services","CNC","2",54.2334,-125.7636
"87","Burns Lake","Lakes District Secondary","091","2011-2012","19","M","Mechanic and repair technologies/technicians","CNC","1",54.2334,-125.7636
"88","Burns Lake","Lakes District Secondary","091","2006-2007","19","F","Basic skills (not for credit)","DOUG","1",54.2334,-125.7636
"89","Burns Lake","Lakes District Secondary","091","2011-2012","19","M","Natural resources and conservation","CNC","1",54.2334,-125.7636
"90","Burns Lake","Lakes District Secondary","091","2007-2008","17","M","Liberal arts and sciences, general studies and humanities","TRU","1",54.2334,-125.7636
"91","Burns Lake","Lakes District Secondary","091","2004-2005","18","F","Family and consumer sciences/human sciences","TRU","1",54.2334,-125.7636
"92","Burns Lake","Lakes District Secondary","091","2004-2005","18","F","Liberal arts and sciences, general studies and humanities","TRU","1",54.2334,-125.7636
"93","Burns Lake","Lakes District Secondary","091","2005-2006","17","F","Liberal arts and sciences, general studies and humanities","TRU","1",54.2334,-125.7636
"94","Burns Lake","Lakes District Secondary","091","2010-2011","18","F","Family and consumer sciences/human sciences","CNC","1",54.2334,-125.7636
"95","Burns Lake","Lakes District Secondary","091","2008-2009","18","F","Engineering technologies and engineering-related fields","TRU","1",54.2334,-125.7636
"96","Burns Lake","Lakes District Secondary","091","2004-2005","18","M","Parks, recreation, leisure and fitness studies","CNC","1",54.2334,-125.7636
"97","Burns Lake","Lakes District Secondary","091","2008-2009","24","M","Security and protective services","CNC","1",54.2334,-125.7636
"98","Burns Lake","Lakes District Secondary","091","2009-2010","18","F","Security and protective services","CNC","1",54.2334,-125.7636
"99","Burns Lake","Lakes District Secondary","091","2009-2010","18","M","Parks, recreation, leisure and fitness studies","CNC","1",54.2334,-125.7636
"100","Burns Lake","Lakes District Secondary","091","2005-2006","19","F","Leisure and recreational activities (not for credit)","CNC","1",54.2334,-125.7636
"101","Burns Lake","Lakes District Secondary","091","2007-2008","17","F","High school/secondary diploma and certificate programs","CNC","2",54.2334,-125.7636
"102","Burns Lake","Lakes District Secondary","091","2006-2007","18","F","Education","VIU","1",54.2334,-125.7636
"103","Burns Lake","Lakes District Secondary","091","2004-2005","18","F","Multidisciplinary/interdisciplinary studies","UNBC","1",54.2334,-125.7636
"104","Burns Lake","Lakes District Secondary","091","2005-2006","25","M","Security and protective services","CNC","1",54.2334,-125.7636
"105","Burns Lake","Lakes District Secondary","091","2009-2010","21","M","Construction trades","CNC","1",54.2334,-125.7636
"106","Burns Lake","Lakes District Secondary","091","2011-2012","18","F","Health professions and related programs","CAPU","1",54.2334,-125.7636
"107","Burns Lake","Lakes District Secondary","091","2009-2010","21","F","High school/secondary diploma and certificate programs","CNC","1",54.2334,-125.7636
"108","Burns Lake","Lakes District Secondary","091","2007-2008","24","M","English language and literature/letters","UNBC","1",54.2334,-125.7636
"109","Burns Lake","Lakes District Secondary","091","2005-2006","17","F","Liberal arts and sciences, general studies and humanities","UFV","1",54.2334,-125.7636
"110","Burns Lake","Lakes District Secondary","091","2009-2010","17","M","Physical sciences","UNBC","1",54.2334,-125.7636
"111","Burns Lake","Lakes District Secondary","091","2006-2007","20","M","Construction trades","CNC","1",54.2334,-125.7636
"112","Burns Lake","Lakes District Secondary","091","2008-2009","18","M","Liberal arts and sciences, general studies and humanities","VIU","1",54.2334,-125.7636
"113","Burns Lake","Lakes District Secondary","091","2006-2007","24","F","High school/secondary diploma and certificate programs","CNC","1",54.2334,-125.7636
"114","Burns Lake","Lakes District Secondary","091","2006-2007","18","M","Physical sciences","UNBC","1",54.2334,-125.7636
"115","Burns Lake","Lakes District Secondary","091","2010-2011","19","M","Construction trades","CNC","2",54.2334,-125.7636
"116","Burns Lake","Lakes District Secondary","091","2005-2006","27","M","Mechanic and repair technologies/technicians","UFV","1",54.2334,-125.7636
"117","Burns Lake","Lakes District Secondary","091","2005-2006","22","M","Leisure and recreational activities (not for credit)","CNC","1",54.2334,-125.7636
"118","Burns Lake","Lakes District Secondary","091","2011-2012","18","M","Security and protective services","JIBC","1",54.2334,-125.7636
"119","Burns Lake","Lakes District Secondary","091","2004-2005","19","M","High school/secondary diploma and certificate programs","NVIT","1",54.2334,-125.7636
"120","Burns Lake","Lakes District Secondary","091","2005-2006","17","M","Multidisciplinary/interdisciplinary studies","UNBC","1",54.2334,-125.7636
"121","Burns Lake","Lakes District Secondary","091","2009-2010","20","M","Personal and culinary services","CNC","1",54.2334,-125.7636
"122","Burns Lake","Lakes District Secondary","091","2009-2010","17","M","Multidisciplinary/interdisciplinary studies","UNBC","1",54.2334,-125.7636
"123","Burns Lake","Lakes District Secondary","091","2006-2007","20","M","Business, management, marketing and related support services","CNC","1",54.2334,-125.7636
"124","Burns Lake","Lakes District Secondary","091","2005-2006","19","M","Health professions and related programs","CNC","1",54.2334,-125.7636
"125","Burns Lake","Lakes District Secondary","091","2006-2007","17","F","Biological and biomedical sciences","UNBC","1",54.2334,-125.7636
"126","Burns Lake","Lakes District Secondary","091","2006-2007","18","F","Business, management, marketing and related support services","CNC","2",54.2334,-125.7636
"127","Burns Lake","Lakes District Secondary","091","2006-2007","22","F","Security and protective services","CNC","1",54.2334,-125.7636
"128","Burns Lake","Lakes District Secondary","091","2006-2007","22","M","High school/secondary diploma and certificate programs","CNC","1",54.2334,-125.7636
"129","Burns Lake","Lakes District Secondary","091","2010-2011","19","F","Public administration and social service professions","CNC","1",54.2334,-125.7636
"130","Burns Lake","Lakes District Secondary","091","2006-2007","18","F","Security and protective services","CNC","2",54.2334,-125.7636
"131","Burns Lake","Lakes District Secondary","091","2006-2007","19","M","English language and literature/letters","UNBC","1",54.2334,-125.7636
"132","Burns Lake","Lakes District Secondary","091","2006-2007","18","M","Health professions and related programs","CNC","1",54.2334,-125.7636
"133","Burns Lake","Lakes District Secondary","091","2007-2008","17","F","History","UNBC","1",54.2334,-125.7636
"134","Burns Lake","Lakes District Secondary","091","2006-2007","18","M","Mechanic and repair technologies/technicians","CNC","2",54.2334,-125.7636
"135","Burns Lake","Lakes District Secondary","091","2004-2005","19","M","Engineering technologies and engineering-related fields","VCC","1",54.2334,-125.7636
"136","Burns Lake","Lakes District Secondary","091","2008-2009","18","F","Liberal arts and sciences, general studies and humanities","TRU","1",54.2334,-125.7636
"137","Burns Lake","Lakes District Secondary","091","2010-2011","20","M","Security and protective services","CNC","2",54.2334,-125.7636
"138","Burns Lake","Lakes District Secondary","091","2005-2006","18","M","Physical sciences","UNBC","1",54.2334,-125.7636
"139","Burns Lake","Lakes District Secondary","091","2011-2012","20","M","Mechanic and repair technologies/technicians","CNC","1",54.2334,-125.7636
"140","Burns Lake","Lakes District Secondary","091","2006-2007","18","F","Visual and performing arts","TRU","1",54.2334,-125.7636
"141","Burns Lake","Lakes District Secondary","091","2012-2013","19","F","Parks, recreation, leisure and fitness studies","CNC","1",54.2334,-125.7636
"142","Burns Lake","Lakes District Secondary","091","2004-2005","20","M","Construction trades","CNC","1",54.2334,-125.7636
"143","Burns Lake","Lakes District Secondary","091","2007-2008","18","F","Liberal arts and sciences, general studies and humanities","TRU","1",54.2334,-125.7636
"144","Burns Lake","Lakes District Secondary","091","2013-2014","17","F","Liberal arts and sciences, general studies and humanities","CNC","2",54.2334,-125.7636
"145","Burns Lake","Lakes District Secondary","091","2008-2009","20","M","Parks, recreation, leisure and fitness studies","CNC","1",54.2334,-125.7636
"146","Burns Lake","Lakes District Secondary","091","2013-2014","18","F","Health professions and related programs","CNC","1",54.2334,-125.7636
"147","Burns Lake","Lakes District Secondary","091","2004-2005","18","F","Physical sciences","UVIC","1",54.2334,-125.7636
"148","Burns Lake","Lakes District Secondary","091","2007-2008","18","M","Construction trades","TRU","1",54.2334,-125.7636
"149","Burns Lake","Lakes District Secondary","091","2007-2008","18","M","Mechanic and repair technologies/technicians","TRU","1",54.2334,-125.7636
"150","Burns Lake","Lakes District Secondary","091","2008-2009","(blank)","(blank)","(blank)","no_transfer_yet","16",54.2334,-125.7636
"151","Burns Lake","Lakes District Secondary","091","2004-2005","19","M","Security and protective services","CNC","4",54.2334,-125.7636
"152","Burns Lake","Lakes District Secondary","091","2009-2010","17","F","Health-related knowledge and skills (not for credit)","CNC","1",54.2334,-125.7636
"153","Burns Lake","Lakes District Secondary","091","2013-2014","19","M","Natural resources and conservation","CNC","1",54.2334,-125.7636
"154","Burns Lake","Lakes District Secondary","091","2009-2010","17","M","Health-related knowledge and skills (not for credit)","CNC","1",54.2334,-125.7636
"155","Burns Lake","Lakes District Secondary","091","2011-2012","20","M","Construction trades","CNC","1",54.2334,-125.7636
"156","Burns Lake","Lakes District Secondary","091","2004-2005","18","M","High school/secondary diploma and certificate programs","CNC","1",54.2334,-125.7636
"157","Burns Lake","Lakes District Secondary","091","2004-2005","18","M","Liberal arts and sciences, general studies and humanities","CNC","2",54.2334,-125.7636
"158","Burns Lake","Lakes District Secondary","091","2013-2014","17","M","Natural resources and conservation","CNC","1",54.2334,-125.7636
"159","Burns Lake","Lakes District Secondary","091","2013-2014","18","F","High school/secondary diploma and certificate programs","CNC","4",54.2334,-125.7636
"160","Burns Lake","Lakes District Secondary","091","2008-2009","21","F","Engineering technologies and engineering-related fields","CNC","1",54.2334,-125.7636
"161","Burns Lake","Lakes District Secondary","091","2006-2007","18","F","Liberal arts and sciences, general studies and humanities","TRU","2",54.2334,-125.7636
"162","Burns Lake","Lakes District Secondary","091","2007-2008","(blank)","(blank)","(blank)","no_transfer_yet","18",54.2334,-125.7636
"163","Burns Lake","Lakes District Secondary","091","2008-2009","23","M","Parks, recreation, leisure and fitness studies","CNC","1",54.2334,-125.7636
"164","Burns Lake","Lakes District Secondary","091","2013-2014","18","M","Personal and culinary services","CNC","1",54.2334,-125.7636
"165","Burns Lake","Lakes District Secondary","091","2013-2014","18","M","Natural resources and conservation","CNC","2",54.2334,-125.7636
"166","Burns Lake","Lakes District Secondary","091","2011-2012","20","F","Security and protective services","CNC","1",54.2334,-125.7636
"167","Burns Lake","Lakes District Secondary","091","2011-2012","20","F","Personal and culinary services","CNC","1",54.2334,-125.7636
"168","Burns Lake","Lakes District Secondary","091","2006-2007","(blank)","(blank)","(blank)","no_transfer_yet","18",54.2334,-125.7636
"169","Burns Lake","Lakes District Secondary","091","2013-2014","19","F","High school/secondary diploma and certificate programs","CNC","1",54.2334,-125.7636
"170","Burns Lake","Lakes Learning Centre","091","2012-2013","19","F","Personal and culinary services","CNC","1",54.2334,-125.7636
"171","Burns Lake","Lakes Learning Centre","091","2012-2013","19","M","High school/secondary diploma and certificate programs","CNC","1",54.2334,-125.7636
"172","Burns Lake","Lakes Learning Centre","091","2012-2013","18","F","Security and protective services","CNC","1",54.2334,-125.7636
"173","Burns Lake","Lakes Learning Centre","091","2012-2013","18","F","High school/secondary diploma and certificate programs","CNC","1",54.2334,-125.7636
"174","Burns Lake","Lakes Learning Centre","091","2012-2013","18","F","Health-related knowledge and skills (not for credit)","CNC","2",54.2334,-125.7636
"175","Burns Lake","Lakes Learning Centre","091","2012-2013","18","F","Construction trades","CNC","1",54.2334,-125.7636
"176","Burns Lake","Lakes Learning Centre","091","2012-2013","(blank)","(blank)","(blank)","no_transfer_yet","1",54.2334,-125.7636
"177","Burns Lake","Lakes Learning Centre","091","2013-2014","(blank)","(blank)","(blank)","no_transfer_yet","7",54.2334,-125.7636
"178","Burns Lake","Lakes District Secondary","091","2007-2008","18","F","Personal awareness and self-improvement (not for credit)","CNC","1",54.2334,-125.7636
"179","Burns Lake","Lakes District Secondary","091","2010-2011","22","M","Construction trades","CNC","1",54.2334,-125.7636
"180","Burns Lake","Lakes District Secondary","091","2007-2008","18","F","Liberal arts and sciences, general studies and humanities","UNBC","1",54.2334,-125.7636
"181","Burns Lake","Lakes District Secondary","091","2007-2008","18","M","Liberal arts and sciences, general studies and humanities","UNBC","1",54.2334,-125.7636
"182","Burns Lake","Lakes District Secondary","091","2008-2009","18","F","Family and consumer sciences/human sciences","CNC","1",54.2334,-125.7636
"183","Burns Lake","Lakes District Secondary","091","2012-2013","17","F","Liberal arts and sciences, general studies and humanities","CNC","1",54.2334,-125.7636
"184","Burns Lake","Lakes District Secondary","091","2006-2007","24","F","Personal and culinary services","NWCC","1",54.2334,-125.7636
"185","Burns Lake","Lakes District Secondary","091","2012-2013","17","M","Security and protective services","CNC","1",54.2334,-125.7636
"186","Burns Lake","Lakes District Secondary","091","2010-2011","(blank)","(blank)","(blank)","no_transfer_yet","26",54.2334,-125.7636
"187","Burns Lake","Lakes District Secondary","091","2008-2009","22","M","Health-related knowledge and skills (not for credit)","NWCC","1",54.2334,-125.7636
"188","Burns Lake","Lakes District Secondary","091","2008-2009","18","M","High school/secondary diploma and certificate programs","CNC","2",54.2334,-125.7636
"189","Burns Lake","Lakes District Secondary","091","2008-2009","18","M","Natural resources and conservation","CNC","1",54.2334,-125.7636
"190","Burns Lake","Lakes District Secondary","091","2008-2009","18","M","Precision production","CNC","1",54.2334,-125.7636
"191","Burns Lake","Lakes District Secondary","091","2013-2014","(blank)","(blank)","(blank)","no_transfer_yet","31",54.2334,-125.7636
"192","Burns Lake","Lakes District Secondary","091","2012-2013","(blank)","(blank)","(blank)","no_transfer_yet","23",54.2334,-125.7636
"193","Burns Lake","Lakes District Secondary","091","2007-2008","19","M","High school/secondary diploma and certificate programs","TRU","1",54.2334,-125.7636
"194","Burns Lake","Lakes District Secondary","091","2008-2009","19","M","Construction trades","CNC","1",54.2334,-125.7636
"195","Burns Lake","Lakes District Secondary","091","2005-2006","19","M","Personal and culinary services","CNC","1",54.2334,-125.7636
"196","Burns Lake","Lakes District Secondary","091","2009-2010","18","F","Health professions and related programs","TRU","1",54.2334,-125.7636
"197","Burns Lake","Lakes District Secondary","091","2005-2006","20","M","Construction trades","CNC","1",54.2334,-125.7636
"198","Burns Lake","Lakes District Secondary","091","2005-2006","20","M","Security and protective services","CNC","1",54.2334,-125.7636
"199","Burns Lake","Lakes District Secondary","091","2010-2011","18","F","Natural resources and conservation","UNBC","1",54.2334,-125.7636
"200","Burns Lake","Lakes District Secondary","091","2007-2008","18","M","Security and protective services","CNC","1",54.2334,-125.7636
"201","Burns Lake","Lakes District Secondary","091","2007-2008","19","F","Education","CNC","1",54.2334,-125.7636
"202","Burns Lake","Lakes District Secondary","091","2008-2009","18","M","Agriculture, agriculture operations and related sciences","KPU","1",54.2334,-125.7636
"203","Burns Lake","Lakes District Secondary","091","2010-2011","18","F","High school/secondary diploma and certificate programs","CNC","6",54.2334,-125.7636
"204","Burns Lake","Lakes District Secondary","091","2011-2012","18","F","Security and protective services","NVIT","1",54.2334,-125.7636
"205","Burns Lake","Lakes District Secondary","091","2007-2008","19","F","Public administration and social service professions","CNC","1",54.2334,-125.7636
"206","Burns Lake","Lakes District Secondary","091","2010-2011","18","M","Health professions and related programs","TRU","1",54.2334,-125.7636
"207","Burns Lake","Lakes District Secondary","091","2011-2012","18","F","Psychology","UNBC","1",54.2334,-125.7636
"208","Burns Lake","Lakes District Secondary","091","2011-2012","18","M","Communications technologies/technicians and support services","OKAN","1",54.2334,-125.7636
"209","Burns Lake","Lakes District Secondary","091","2011-2012","21","F","Health-related knowledge and skills (not for credit)","OKAN","1",54.2334,-125.7636
"210","Burns Lake","Lakes District Secondary","091","2012-2013","20","M","Construction trades","OKAN","1",54.2334,-125.7636
"211","Burns Lake","Lakes District Secondary","091","2010-2011","18","M","Parks, recreation, leisure and fitness studies","CNC","1",54.2334,-125.7636
"212","Burns Lake","Lakes District Secondary","091","2013-2014","18","M","Construction trades","TRU","1",54.2334,-125.7636
"213","Burns Lake","Lakes District Secondary","091","2004-2005","23","F","Health professions and related programs","CNC","1",54.2334,-125.7636
"214","Burns Lake","Lakes District Secondary","091","2011-2012","20","F","Natural resources and conservation","CNC","1",54.2334,-125.7636
"215","Burns Lake","Lakes District Secondary","091","2007-2008","20","M","Security and protective services","CNC","1",54.2334,-125.7636
"216","Burns Lake","Lakes District Secondary","091","2007-2008","21","F","Business, management, marketing and related support services","CNC","1",54.2334,-125.7636
"217","Burns Lake","Lakes District Secondary","091","2005-2006","17","F","High school/secondary diploma and certificate programs","CNC","1",54.2334,-125.7636
"218","Burns Lake","Lakes District Secondary","091","2007-2008","22","F","High school/secondary diploma and certificate programs","CNC","1",54.2334,-125.7636
"219","Burns Lake","Lakes District Secondary","091","2013-2014","18","M","Engineering","UNBC","1",54.2334,-125.7636
"220","Burns Lake","Lakes District Secondary","091","2008-2009","17","M","Precision production","CNC","1",54.2334,-125.7636
"221","Burns Lake","Lakes District Secondary","091","2009-2010","18","M","Security and protective services","CNC","4",54.2334,-125.7636
"222","Burns Lake","Lakes District Secondary","091","2009-2010","19","F","Business, management, marketing and related support services","CNC","1",54.2334,-125.7636
"223","Burns Lake","Lakes District Secondary","091","2006-2007","19","M","High school/secondary diploma and certificate programs","NWCC","1",54.2334,-125.7636
"224","Burns Lake","Lakes District Secondary","091","2005-2006","18","F","Liberal arts and sciences, general studies and humanities","CNC","1",54.2334,-125.7636
