year,programTitle,Program Code,PLU,Sum Credits,location,sumFTE,abo,imm
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,1680,TE,2,N,00
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,2520,TE,3,Y,00
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,9240,TE,11,,00
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,PR,0,N,00
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,PR,0,,00
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,222.858,PR,0.37143,N,00
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,222.858,PR,0.37143,,00
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,694.287,TE,1.157145,N,00
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,Y,00
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,231.429,TE,0.385715,,00
2009-10,ACEIT Welding,ACWELD,SCH,0,PR,0,N,00
2009-10,ACEIT Welding,ACWELD,SCH,0,PR,0,Y,00
2009-10,ACEIT Welding,ACWELD,SCH,0,TE,0,N,00
2009-10,ACEIT Welding,ACWELD,SCH,0,TE,0,Y,00
2009-10,ACEIT Welding,ACWELD,SCH,1058.572,PR,1.260204762,N,00
2009-10,ACEIT Welding,ACWELD,SCH,3175.716,PR,3.780614286,Y,00
2009-10,ACEIT Welding,ACWELD,SCH,5292.86,TE,6.30102381,N,00
2009-10,ACEIT Welding,ACWELD,SCH,8,TE,0.013333333,N,00
2009-10,ACEIT Welding,ACWELD,SCH,33,PR,0.055,Y,00
2009-10,ACEIT Welding,ACWELD,SCH,12.5,PR,0.020833333,N,00
2009-10,ACEIT Welding,ACWELD,SCH,1058.572,TE,1.260204762,Y,00
2010-11,ACEIT Welding,ACWELD,SCH,0,PR,0,N,00
2010-11,ACEIT Welding,ACWELD,SCH,0,TE,0,N,00
2010-11,ACEIT Welding,ACWELD,SCH,0,TE,0,Y,00
2010-11,ACEIT Welding,ACWELD,SCH,5721.43,PR,6.81122619,N,00
2010-11,ACEIT Welding,ACWELD,SCH,2738.572,TE,3.260204762,N,00
2010-11,ACEIT Welding,ACWELD,SCH,1084.286,TE,1.290816667,Y,00
2010-11,ACEIT Welding,ACWELD,SCH,63.5,PR,0.105833333,N,00
2010-11,ACEIT Welding,ACWELD,SCH,19.5,TE,0.0325,N,00
2011-12,ACEIT Welding,ACWELD,SCH,0,PR,0,N,00
2011-12,ACEIT Welding,ACWELD,SCH,0,TE,0,N,00
2011-12,ACEIT Welding,ACWELD,SCH,4337.144,PR,5.163266667,N,00
2011-12,ACEIT Welding,ACWELD,SCH,3252.858,TE,3.87245,N,00
2011-12,ACEIT Welding,ACWELD,SCH,18,PR,0.03,N,00
2011-12,ACEIT Welding,ACWELD,SCH,31,TE,0.051666667,N,00
2012-13,ACEIT Welding,ACWELD,SCH,0,PR,0,N,00
2012-13,ACEIT Welding,ACWELD,SCH,0,PR,0,Y,00
2012-13,ACEIT Welding,ACWELD,SCH,0,TE,0,N,00
2012-13,ACEIT Welding,ACWELD,SCH,0,TE,0,Y,00
2012-13,ACEIT Welding,ACWELD,SCH,0,TE,0,,00
2012-13,ACEIT Welding,ACWELD,SCH,3265.716,PR,3.887757143,N,00
2012-13,ACEIT Welding,ACWELD,SCH,1032.858,PR,1.229592857,Y,00
2012-13,ACEIT Welding,ACWELD,SCH,3265.716,TE,3.887757143,N,00
2012-13,ACEIT Welding,ACWELD,SCH,1088.572,TE,1.295919048,Y,00
2012-13,ACEIT Welding,ACWELD,SCH,1088.572,TE,1.295919048,,00
2012-13,ACEIT Welding,ACWELD,SCH,34,PR,0.056666667,N,00
2012-13,ACEIT Welding,ACWELD,SCH,10,PR,0.016666667,Y,00
2013-14,ACEIT Welding,ACWELD,SCH,3265.716,PR,3.887757143,N,00
2013-14,ACEIT Welding,ACWELD,SCH,2177.144,PR,2.591838095,Y,00
2013-14,ACEIT Welding,ACWELD,SCH,3265.716,TE,3.887757143,N,00
2013-14,ACEIT Welding,ACWELD,SCH,4354.288,TE,5.18367619,,00
2013-14,ACEIT Welding,ACWELD,SCH,292.857,PR,0.381324219,N,00
2013-14,ACEIT Welding,ACWELD,SCH,665.429,PR,1.109048333,N,00
2013-14,ACEIT Welding,ACWELD,SCH,22,PR,0.036666667,Y,00
2013-14,ACEIT Welding,ACWELD,SCH,0,TE,0,,00
2013-14,ACEIT Welding,ACWELD,SCH,0,TE,0,N,00
2013-14,ACEIT Welding,ACWELD,SCH,0,PR,0,Y,00
2013-14,ACEIT Welding,ACWELD,SCH,0,PR,0,N,00
2009-10,Adult Special Education,ASE,SCH,8,NA,0.013333333,Y,00
2009-10,Adult Special Education,ASE,SCH,781.002,TE,1.084725,,00
2009-10,Adult Special Education,ASE,SCH,6234.72,TE,8.659333333,Y,00
2009-10,Adult Special Education,ASE,SCH,2449.432,TE,3.401988889,N,00
2009-10,Adult Special Education,ASE,SCH,1020.001,PR,1.416668056,,00
2009-10,Adult Special Education,ASE,SCH,1776.787,PR,2.467759722,Y,00
2009-10,Adult Special Education,ASE,SCH,1317.858,PR,1.830358333,N,00
2009-10,Adult Special Education,ASE,SCH,28.5,TE,0,,00
2009-10,Adult Special Education,ASE,SCH,294,TE,0.0625,Y,00
2009-10,Adult Special Education,ASE,SCH,120,TE,0,N,00
2009-10,Adult Special Education,ASE,SCH,74,PR,0,,00
2009-10,Adult Special Education,ASE,SCH,96,PR,0,Y,00
2009-10,Adult Special Education,ASE,SCH,57,PR,0,N,00
2009-10,Adult Special Education,ASE,SCH,19,KN,0,Y,00
2010-11,Adult Special Education,ASE,SCH,12.5,TE,0.020833333,Y,00
2010-11,Adult Special Education,ASE,SCH,4,PR,0.006666667,Y,00
2010-11,Adult Special Education,ASE,SCH,12,PR,0.02,N,00
2010-11,Adult Special Education,ASE,SCH,8,PR,0.013333333,N,00
2010-11,Adult Special Education,ASE,SCH,7916.359,TE,9.424236905,Y,00
2010-11,Adult Special Education,ASE,SCH,1566.257,TE,1.864591667,N,00
2010-11,Adult Special Education,ASE,SCH,1387.498,PR,1.651783333,Y,00
2010-11,Adult Special Education,ASE,SCH,1728.568,PR,2.057819048,N,00
2010-11,Adult Special Education,ASE,SCH,316.5,TE,0,Y,00
2010-11,Adult Special Education,ASE,SCH,60.5,TE,0.053571429,N,00
2010-11,Adult Special Education,ASE,SCH,67,PR,0,Y,00
2010-11,Adult Special Education,ASE,SCH,78,PR,0,N,00
2011-12,Adult Special Education,ASE,SCH,31.5,TE,0,N,00
2011-12,Adult Special Education,ASE,SCH,538.5,TE,0,Y,00
2011-12,Adult Special Education,ASE,SCH,796.217,TE,0.947877381,N,00
2011-12,Adult Special Education,ASE,SCH,9494.965,TE,11.30352976,Y,00
2011-12,Adult Special Education,ASE,SCH,66,GR,0.11,Y,00
2011-12,Adult Special Education,ASE,SCH,26,TE,0.043333333,Y,00
2011-12,Adult Special Education,ASE,SCH,6,TE,0.01,,00
2012-13,Adult Special Education,ASE,SCH,211.5,TE,0.3525,Y,00
2012-13,Adult Special Education,ASE,SCH,12,TE,0.02,N,00
2012-13,Adult Special Education,ASE,SCH,8889.943,TE,10.58326548,Y,00
2012-13,Adult Special Education,ASE,SCH,2029.71,TE,2.416321429,N,00
2012-13,Adult Special Education,ASE,SCH,139.629,PR,0.166225,N,01
2012-13,Adult Special Education,ASE,SCH,425.5,TE,0,Y,00
2012-13,Adult Special Education,ASE,SCH,100.5,TE,0,N,00
2013-14,Adult Special Education,ASE,SCH,0,TE,0,,00
2013-14,Adult Special Education,ASE,SCH,0,TE,0,Y,00
2013-14,Adult Special Education,ASE,SCH,0,TE,0,N,00
