"","SCS_STUDENT","AGE","C99_BEST_PROGRAM","ACPG_DESC","SEC_LOCATION","LOC_DESC","AY","AY_HELPER","CITY"
"122",1,16,"ACMILLF","ACE-IT Millwright Foundation","HO","Houston","2014-2015","2013-2014","Houston"
"123",1,16,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"124",1,19,"CCP","Career and College Prep","SM","Smithers","2014-2015","2013-2014","Smithers"
"125",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"126",1,17,"CCP","Career and College Prep","HA","Hazelton","2014-2015","2013-2014","Gitsequkla"
"127",1,18,"ABT","Applied Business Technology","SM","Smithers","2014-2015","2013-2014","Terrace"
"128",1,16,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"129",1,17,"CCP","Career and College Prep","SM","Smithers","2014-2015","2013-2014","Telkwa"
"130",1,18,"HEOF",NA,"TE","Terrace","2014-2015","2013-2014","Kitimat"
"131",1,17,"CCP","Career and College Prep","SM","Smithers","2014-2015","2013-2014","Smithers"
"132",1,19,"CCP","Career and College Prep","SM","Smithers","2014-2015","2013-2014","Smithers"
"133",1,18,"HEOT","Heavy Equipment Operator Technician","TE","Terrace","2014-2015","2013-2014","Kitimat"
"134",1,18,"CCP","Career and College Prep","TE","Terrace","2014-2015","2013-2014","Terrace"
"135",1,19,"WELDF","Welder Foundation","TE","Terrace","2014-2015","2013-2014","Terrace"
