"","SCS_STUDENT","AGE","C99_BEST_PROGRAM","ACPG_DESC","SEC_LOCATION","LOC_DESC","AY","AY_HELPER","CITY"
"748",1,17,"CE","Continuing Education","HO","Houston","2014-2015","2013-2014","Smithers"
"749",1,18,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Smithers"
"750",1,18,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Houston"
"751",1,16,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Smithers"
"752",1,17,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Sik-E-Dakh"
"753",1,18,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Telkwa"
"754",1,19,"CE","Continuing Education","HO","Houston","2014-2015","2013-2014","Houston"
"755",1,18,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Smithers"
"756",1,17,"BADM","Business Administration Year 1","TE","Terrace","2014-2015","2013-2014","Queen Chrltte"
"757",1,16,"CE","Continuing Education","MA","Masset","2014-2015","2013-2014","Masset"
"758",1,16,"CE","Continuing Education","MA","Masset","2014-2015","2013-2014","Masset"
"759",1,17,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Clinton"
"760",1,19,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Kamloops"
"761",1,17,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Clinton"
"762",1,17,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Clinton"
"763",1,17,"ACELTRF","ACE-IT Electrical Foundation","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"764",1,17,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Smithers"
"765",1,18,"CE","Continuing Education","HA","Hazelton","2014-2015","2013-2014","S Hazelton"
"766",1,17,"CE","Continuing Education","MA","Masset","2014-2015","2013-2014","Masset"
"767",1,17,"CE","Continuing Education","MA","Masset","2014-2015","2013-2014","Masset"
"768",1,19,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"769",1,17,"UC","University Credit Year 1","HO","Houston","2014-2015","2013-2014","Houston"
"770",1,18,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"771",1,18,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"772",1,17,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Smithers"
"773",1,19,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"774",1,18,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"775",1,18,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"776",1,18,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014",NA
"777",1,18,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"778",1,19,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"779",1,19,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"780",1,17,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"781",1,19,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Topley"
"782",1,19,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"783",1,18,"CCP","Career and College Prep","SM","Smithers","2014-2015","2013-2014","Telkwa"
"784",1,18,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"785",1,18,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Kitimat"
"786",1,18,"CE","Continuing Education","HA","Hazelton","2014-2015","2013-2014","Houston"
"787",1,17,"UC","University Credit Year 1","SM","Smithers","2014-2015","2013-2014","Telkwa"
"788",1,18,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"789",1,18,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"790",1,18,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"791",1,17,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"792",1,16,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Smithers"
"793",1,18,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"794",1,19,"CE","Continuing Education","KL","Kaay Llnagaay","2014-2015","2013-2014","Skidegate"
"795",1,18,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Smithers"
"796",1,18,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Telkwa"
"797",1,19,"CE","Continuing Education","HO","Houston","2014-2015","2013-2014","Houston"
"798",1,19,"CE","Continuing Education","HO","Houston","2014-2015","2013-2014","Burns Lake"
"799",1,18,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"800",1,17,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Smithers"
"801",1,18,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Kitimat"
"802",1,19,"CE","Continuing Education","HO","Houston","2014-2015","2013-2014","Houston"
"803",1,19,"CE","Continuing Education","KI","Kitimat","2014-2015","2013-2014","Kitimat"
